id,name,num_employees
105,"Jacobson, Kohler and Bode",1
106,Metz and Sons,8
107,"Renner, Aufderhar and MacGyver",11
108,"Schmitt, Brekke and Hoeger",7
109,"Hammes, Greenholt and Wyman",1
110,Parisian and Sons,4
111,Schoen-Effertz,5
112,Walker-O'Keefe,1
113,Smith Group,8
114,"Friesen, Schiller and Leuschke",5
115,Macejkovic and Sons,6
116,Donnelly Inc,9
117,"Durgan, Heller and Greenfelder",8
118,"Kshlerin, Nader and Windler",5
119,"Bins, Rice and McClure",8
120,Kozey Inc,6
121,"Collier, Wolff and Crist",4
122,"Bayer, Renner and Terry",9
123,Nikolaus-Emmerich,10
124,Wehner LLC,5
125,"Lubowitz, Wolff and Doyle",4
126,Mayer LLC,4
127,Jacobson-Jacobi,6
128,Jacobson Inc,11
129,Runolfsdottir-Powlowski,11
130,Jones-Abshire,2
131,"Marks, Beer and Monahan",4
132,Feeney Group,8
133,"Torphy, Koepp and Hintz",11
134,"Mills, Kemmer and Mertz",11
135,"Hills, Fisher and Brakus",9
136,Collins-Stanton,11
137,"Bailey, Davis and McClure",2
138,"Cronin, Luettgen and Effertz",10
139,Fay-Marvin,2
140,"Hermiston, Prosacco and Durgan",10
141,Waelchi-Rodriguez,11
142,Ortiz-Gutmann,6
143,Rohan-Roob,10
144,Pfannerstill Group,7
145,Rutherford-Volkman,10
146,Davis Inc,8
147,"Greenfelder, Ebert and Wyman",2
148,Ullrich LLC,10
149,Nolan Inc,9
150,"Donnelly, Bernier and Waelchi",4
151,Gleichner and Sons,2
152,Heathcote Group,9
153,Larkin-Bergstrom,7
154,Casper-Schuppe,11
155,"Stanton, Strosin and Rogahn",8
156,"Powlowski, Rosenbaum and Funk",7
157,Schamberger Inc,3
158,Terry-Moen,8
159,Kutch Group,10
160,Upton-Larkin,2
161,Wintheiser Group,10
162,Eichmann-Rodriguez,6
163,Grady Group,5
164,Gulgowski-Dietrich,6
165,Nikolaus Inc,9
166,"Koch, Purdy and Hamill",7
167,Weissnat LLC,3
168,"Funk, Medhurst and Abshire",10
169,Abernathy-Towne,11
170,Hilpert Inc,3
171,Bartell-Bartoletti,6
172,Osinski Inc,10
173,Kuhn-Roob,7
174,"Osinski, Ryan and Johnston",4
175,"Douglas, Lesch and Kuphal",1
176,Osinski-Volkman,10
177,"Legros, Hamill and Haag",10
178,Von-Bartoletti,3
179,McKenzie and Sons,2
180,Sipes Group,4
181,Rath-Muller,2
182,Larson Inc,8
183,Miller-Davis,6
184,Pollich-Towne,6
185,Miller Group,10
186,Kerluke LLC,6
187,Kreiger-Crona,8
188,Gerlach-Hodkiewicz,10
189,"Tremblay, Rosenbaum and Gleason",3
190,"Jaskolski, Borer and Hyatt",2
191,"Bailey, Konopelski and Jerde",4
192,"Jast, D'Amore and Collier",5
193,Rolfson-Vandervort,2
194,Mertz Group,2
195,Towne Group,8
196,Kemmer Group,8
197,"Bode, Gleason and Zieme",4
198,O'Conner Inc,1
199,Grant-Robel,5
200,Frami and Sons,5
201,Gleason Group,7
202,"Abshire, Orn and Torp",1
203,Osinski-Schuster,7
204,"Green, Goodwin and Kiehn",1
205,Torp Group,11
206,Labadie and Sons,6
207,Renner Inc,1
208,Hills-Swaniawski,9
209,Rempel Group,3
210,"Gerlach, Gaylord and Strosin",3
211,Larkin-Friesen,6
212,"Stanton, Emard and Metz",11
213,Schaden-Jones,4
214,"Goodwin, Sanford and Weber",10
215,"Marquardt, Eichmann and Lang",7
216,Wintheiser and Sons,10
217,"Anderson, Reynolds and Bode",1
218,Powlowski-Kemmer,10
219,Klein Group,5
220,"Keeling, Abernathy and DuBuque",1
221,Buckridge-Schmitt,4
222,"Kutch, Satterfield and Jacobson",7
223,"Champlin, Halvorson and Medhurst",7
224,Aufderhar-Paucek,9
225,Zulauf Group,3
226,Hyatt-Robel,5
227,Lowe-Willms,5
228,Mills-Beier,11
229,Marvin LLC,4
230,Torp-DuBuque,1
231,Skiles Group,7
232,Howe-Mertz,7
233,Lubowitz Group,3
234,Kuhlman and Sons,2
235,Renner Inc,2
236,Grimes Inc,11
237,Ritchie LLC,10
238,Wuckert LLC,2
239,Windler Inc,6
240,Roberts LLC,9
241,Greenfelder Inc,4
242,Stanton and Sons,6
243,"Thompson, Stracke and Connelly",2
244,Ziemann-Emmerich,2
245,Dach LLC,6
246,Gibson-Von,10
247,"Ward, Hirthe and Johns",8
248,Daniel-Gusikowski,5
249,"Rice, Bartell and Shields",8
250,"Konopelski, Block and Krajcik",9
251,Hauck-Hammes,7
252,"Johns, Pouros and Pouros",11
253,"Kling, Rempel and Gerhold",2
254,Beer-Skiles,8
255,"Veum, Padberg and Berge",2
256,"Waters, Daugherty and Walter",3
257,Heathcote Group,2
258,Strosin Group,8
259,Marks Group,7
260,Fay-Gerhold,3
261,Gusikowski and Sons,8
262,"Steuber, Larkin and Beer",3
263,Leffler-Bernier,3
264,Friesen-Schultz,11
265,"Haley, Padberg and Rosenbaum",7
266,"Klocko, Von and Cassin",1
267,Senger-Gleichner,3
268,Goodwin-Lueilwitz,1
269,"Streich, Roob and Pfeffer",4
270,Denesik and Sons,10
271,Douglas LLC,1
272,"Durgan, West and Muller",7
273,Stamm and Sons,11
274,Reilly-Bernhard,11
275,"Mayer, O'Kon and Cummerata",2
276,Zulauf and Sons,4
277,"Swaniawski, Donnelly and Watsica",7
278,O'Keefe Group,2
279,"Mante, Will and Lindgren",3
280,Kuhlman-Spencer,10
281,Rippin-Nader,3
282,Mosciski-Casper,4
283,Abbott Group,9
284,Wuckert-Weimann,9
285,"Durgan, D'Amore and Hilpert",9
286,Hettinger Inc,8
287,Williamson LLC,10
288,Kuphal-Connelly,1
289,"Cremin, Beahan and Lind",5
290,"Heaney, Christiansen and Heaney",9
291,Swift and Sons,6
292,"Koelpin, Doyle and Wuckert",3
293,Hane and Sons,10
294,Volkman-Kuphal,6
295,Price-Larson,1
296,"Toy, Lueilwitz and Maggio",10
297,"Kuvalis, Zemlak and Kunde",7
298,"O'Hara, Beer and Larkin",5
299,Marks-Stroman,4
300,Hammes-Borer,7
301,Green Inc,8
302,"Denesik, Dach and Stamm",4
303,"Kirlin, Hickle and Murray",8
304,Rath Group,11
305,Paucek-McCullough,6
306,"Funk, Bayer and Walter",4
307,Rogahn-Mosciski,10
308,Fritsch-Cummings,7
309,"Nolan, Rolfson and Hoeger",8
310,Pfeffer LLC,5
311,Gleichner LLC,1
312,Sporer Inc,5
313,Stiedemann-Hamill,1
314,Sawayn-Bednar,3
315,"Lesch, Emard and Schroeder",11
316,Koelpin LLC,7
317,Metz Group,8
318,Johns and Sons,3
319,Price Group,3
320,Krajcik and Sons,8
321,"Schaefer, Hudson and Bosco",10
322,Nienow Group,5
323,Denesik Inc,5
324,"Hammes, Streich and Hoeger",2
325,Leuschke-Kerluke,10
326,"Koch, Sawayn and Moen",7
327,Harris and Sons,1
328,"Sawayn, Abernathy and Donnelly",2
329,Hegmann-Jacobs,8
330,Terry-Bergnaum,9
331,"Rempel, Tromp and Lebsack",9
332,Grady-Walker,9
333,Strosin and Sons,2
334,Collier Group,9
335,"Von, Turner and Cummings",5
336,Borer Group,7
337,Fahey-Littel,2
338,"Harber, Spinka and Larkin",9
339,Schmeler Inc,10
340,Goldner-Gerhold,1
341,"Connelly, Hilll and Wolf",2
342,"Abbott, Volkman and Bins",2
343,"Witting, Collier and Feil",4
344,Corkery and Sons,8
345,O'Hara LLC,6
346,Grady-Jakubowski,2
347,"Becker, Hane and Conn",10
348,Schaefer-Lehner,11
349,Schaden Group,10
350,"Kirlin, Dickens and Von",11
351,Schmeler and Sons,3
352,"Pagac, Langosh and Bogan",2
353,Bernier-Schoen,9
354,"Auer, Senger and Legros",9
355,Schaefer Inc,11
356,Ruecker and Sons,2
357,Bins-Dickens,10
358,Cronin-Feeney,9
359,"Crooks, Cruickshank and Keeling",6
360,Hackett Inc,6
361,Gerlach-Kunde,10
362,Fritsch-Hamill,3
363,Grimes Group,4
364,White-Steuber,3
365,"Toy, Krajcik and Bashirian",7
366,Upton and Sons,2
367,Weimann and Sons,11
368,"Champlin, Romaguera and Yost",2
369,Herman and Sons,9
370,"Reichert, Stracke and Block",1
371,"Balistreri, Smith and Sawayn",8
372,Hettinger Inc,3
373,Howe LLC,8
374,Oberbrunner-Feest,4
375,Haley-Ortiz,1
376,Kuhic LLC,11
377,Considine-Hauck,8
378,Hintz Group,7
379,"Torphy, Hyatt and Greenholt",1
380,Luettgen-Feest,5
381,Christiansen and Sons,6
382,"Klocko, Yost and Wunsch",8
383,"Padberg, Block and Rodriguez",8
384,"Davis, Gerhold and Heaney",5
385,DuBuque Group,4
386,Hintz and Sons,11
387,Pouros-Effertz,9
388,Carroll LLC,8
389,MacGyver-Von,2
390,Abernathy-Kohler,4
391,Hauck-Marquardt,7
392,"McGlynn, Osinski and Morissette",10
393,Hintz LLC,4
394,"Stehr, Mante and Pouros",3
395,O'Kon Inc,1
396,Fay-Kris,7
397,Zboncak LLC,7
398,O'Conner-Turcotte,8
399,Bins and Sons,6
400,"Kutch, Parker and Sipes",7
401,"Borer, Ernser and Spencer",4
402,"Beatty, Cole and Dibbert",11
403,McDermott-Durgan,7
404,Kertzmann Inc,7
405,Dickinson-Grant,2
406,Cole Group,9
407,Dibbert-Raynor,1
408,"Quigley, Williamson and Nicolas",7
409,Heathcote LLC,5
410,Champlin-Gerhold,10
411,"Beer, Wisoky and Boehm",3
412,Bernier-Torp,3
413,Rempel and Sons,3
414,Streich-Yost,11
415,"Schroeder, Stracke and Flatley",3
416,"Walsh, O'Connell and Schmeler",5
417,Schumm-Bogisich,3
418,"Turcotte, Bayer and Labadie",5
419,Sauer-Haag,8
420,Gerhold-Boyer,7
421,"Bins, Jaskolski and Kutch",6
422,Goldner Inc,3
423,Ebert-Schaefer,7
424,"Ward, Bayer and Lockman",10
425,Luettgen-Koss,5
426,Lynch Inc,5
427,Sipes-Howell,9
428,"Thiel, Carter and Heathcote",10
429,Hegmann LLC,5
430,Lebsack Inc,10
431,Runte and Sons,4
432,"Howe, Auer and Altenwerth",9
433,Cassin Group,8
434,Miller Inc,5
435,Deckow Group,7
436,Mohr-Yost,5
437,"Dibbert, Jones and Schroeder",9
438,Zulauf-Morissette,1
439,Sawayn Inc,7
440,Johnston Inc,6
441,Mann-Stanton,3
442,"Hamill, Gislason and Schowalter",5
443,Rosenbaum-Jast,4
444,Ullrich Group,3
445,"Gutkowski, Kutch and Batz",7
446,Wisoky Group,6
447,Douglas LLC,3
448,Harris Inc,7
449,"Torphy, Baumbach and Kilback",9
450,Keeling Group,1
451,O'Connell Group,7
452,Feest-Ledner,4
453,Dickinson Group,7
454,Mante-Olson,11
455,Dickinson Inc,7
456,"Kub, Jenkins and Price",7
457,"Cruickshank, Feeney and Emmerich",8
458,Huels-Kunde,3
459,"Breitenberg, Conroy and Lynch",10
460,Hagenes-Hudson,5
