market_id,vendor_id
34,14
34,156
34,167
34,168
34,169
34,170
34,171
34,172
34,173
34,174
34,210
34,232
34,270
34,307
34,310
34,379
34,4
34,401
34,422
34,439
34,93
35,175
35,8
35,85
36,123
36,176
36,177
36,178
36,179
36,250
36,277
36,309
36,395
36,402
36,426
36,58
37,163
37,180
37,377
38,181
38,182
38,183
38,231
38,245
38,283
38,318
38,328
38,63
39,184
39,185
39,186
39,206
39,224
39,235
39,281
39,318
39,399
4,13
4,131
4,14
4,148
4,15
4,16
4,181
4,188
4,392
4,430
4,71
4,96
40,113
40,121
40,187
40,188
40,189
40,190
40,196
40,225
40,317
40,380
40,414
40,51
41,12
41,131
41,189
41,191
41,192
41,193
41,197
41,346
41,65
42,103
42,117
42,132
42,133
42,178
42,181
42,194
42,195
42,196
42,197
42,198
42,199
42,200
42,201
42,205
42,23
42,253
42,278
42,296
42,313
42,32
42,332
42,411
42,59
43,1
43,13
43,134
43,172
43,202
43,203
43,204
43,205
43,206
43,207
43,208
43,226
43,240
43,28
43,281
43,308
43,335
43,352
43,406
43,456
43,5
44,107
44,115
44,209
44,210
44,333
44,87
45,124
45,161
45,211
45,212
45,213
45,214
45,215
45,216
45,227
45,244
45,269
45,278
45,360
45,383
45,387
45,420
45,446
45,454
46,2
46,217
46,218
46,320
46,403
46,6
47,135
47,19
47,190
47,204
47,212
47,219
47,220
47,221
47,222
47,223
47,237
47,243
47,272
47,39
47,46
48,129
48,152
48,187
48,189
48,193
48,224
48,225
48,226
48,227
48,228
48,229
48,230
48,231
48,254
48,270
48,284
48,287
48,337
48,34
48,379
48,407
48,444
48,459
48,9
49,101
49,140
49,183
49,230
49,232
49,233
49,234
49,235
49,236
49,237
49,238
49,255
49,262
49,336
49,342
49,404
49,431
49,452
49,54
49,64
49,78
5,17
5,18
5,242
5,416
5,427
5,440
50,116
50,136
50,145
50,218
50,236
50,239
50,240
50,241
50,242
50,243
50,244
50,245
50,246
50,247
50,333
50,343
50,362
50,382
50,386
50,404
50,433
50,445
50,456
50,62
50,73
50,79
51,172
51,248
51,300
51,457
51,61
51,63
52,124
52,159
52,164
52,199
52,214
52,22
52,222
52,249
52,250
52,251
52,252
52,253
52,254
52,255
52,256
52,257
52,258
52,294
52,326
52,340
52,355
52,424
52,434
52,435
52,50
52,53
52,77
53,100
53,120
53,142
53,249
53,258
53,259
53,260
53,261
53,262
53,263
53,266
53,277
53,308
53,330
53,390
53,398
53,85
53,97
54,104
54,11
54,117
54,123
54,148
54,165
54,187
54,21
54,215
54,255
54,264
54,265
54,266
54,267
54,268
54,269
54,270
54,375
54,377
54,394
54,428
54,458
54,68
54,95
55,248
55,271
55,272
55,273
55,274
55,275
55,330
55,384
55,448
55,453
55,57
55,7
55,83
55,89
56,1
56,103
56,110
56,154
56,169
56,231
56,265
56,276
56,277
56,278
56,279
56,280
56,281
56,282
56,283
56,284
56,285
56,288
56,300
56,335
56,341
56,345
56,369
56,392
56,399
56,453
56,458
56,60
56,87
57,170
57,286
57,310
58,154
58,161
58,171
58,22
58,220
58,234
58,237
58,238
58,26
58,287
58,288
58,289
58,290
58,291
58,292
58,293
58,294
58,295
58,323
58,349
58,385
58,400
58,419
58,425
58,443
58,57
58,99
59,133
59,137
59,150
59,151
59,200
59,239
59,256
59,267
59,274
59,296
59,297
59,298
59,299
59,300
59,301
59,302
59,306
59,412
59,413
59,70
6,19
6,20
6,21
6,241
6,248
6,276
6,415
6,420
6,55
60,106
60,108
60,143
60,211
60,234
60,251
60,303
60,304
60,305
60,306
60,307
60,308
60,314
60,315
60,327
60,344
60,405
60,447
61,201
61,294
61,309
61,310
61,317
61,321
61,37
61,373
61,459
62,111
62,119
62,204
62,219
62,251
62,268
62,280
62,311
62,312
62,313
62,314
62,315
62,316
62,317
62,32
62,320
62,357
62,383
62,391
62,441
62,9
63,105
63,153
63,174
63,198
63,199
63,224
63,290
63,316
63,318
63,319
63,320
63,321
63,322
63,323
63,324
63,363
63,409
63,49
63,69
63,97
64,252
64,325
64,396
65,218
65,267
65,326
66,130
66,156
66,16
66,167
66,207
66,309
66,327
66,328
66,329
66,330
66,331
66,332
66,333
66,334
66,335
66,341
66,347
66,358
66,361
66,365
66,397
66,401
66,428
66,50
66,68
66,72
67,10
67,122
67,155
67,242
67,33
67,336
67,337
67,338
67,339
67,340
67,348
67,367
67,410
67,44
67,94
68,128
68,167
68,2
68,21
68,232
68,298
68,299
68,341
68,342
68,343
68,344
68,345
68,346
68,347
68,348
68,362
68,371
68,38
68,42
68,449
68,452
68,47
68,53
68,55
69,113
69,210
69,25
69,29
69,312
69,336
69,339
69,342
69,348
69,349
69,350
69,351
69,352
69,353
69,354
69,355
69,356
69,357
69,358
69,359
69,361
69,366
69,372
69,408
69,437
69,451
69,58
69,61
69,66
69,8
7,127
7,22
7,23
7,351
7,442
7,67
70,107
70,114
70,139
70,145
70,146
70,217
70,221
70,359
70,360
70,361
70,362
70,363
70,381
70,60
70,86
71,126
71,289
71,364
71,365
71,366
71,367
71,412
71,419
71,437
71,440
71,459
71,74
72,13
72,168
72,171
72,27
72,293
72,329
72,351
72,368
72,369
72,370
72,371
72,372
72,41
72,47
72,92
73,182
73,312
73,373
74,155
74,303
74,374
75,14
75,147
75,229
75,298
75,375
75,376
75,377
75,438
75,54
76,176
76,261
76,378
77,194
77,215
77,257
77,35
77,379
77,380
77,381
77,409
77,48
78,216
78,315
78,382
79,140
79,146
79,173
79,175
79,182
79,261
79,296
79,311
79,319
79,324
79,360
79,383
79,384
79,385
79,386
79,387
79,388
79,389
79,40
79,433
79,460
79,56
79,66
79,86
8,114
8,162
8,24
8,25
8,26
8,260
8,27
8,28
8,29
8,290
8,368
8,370
8,418
8,423
8,435
8,441
8,7
80,130
80,3
80,390
81,119
81,147
81,160
81,177
81,212
81,24
81,250
81,259
81,276
81,28
81,291
81,297
81,301
81,322
81,389
81,391
81,392
81,393
81,394
81,395
81,396
81,397
81,398
81,399
81,455
81,98
82,134
82,19
82,207
82,236
82,265
82,271
82,275
82,279
82,34
82,340
82,400
82,401
82,402
82,403
82,404
82,405
82,406
82,407
82,424
82,43
82,49
82,5
82,72
82,79
83,106
83,115
83,165
83,185
83,208
83,23
83,26
83,284
83,326
83,332
83,372
83,374
83,393
83,408
83,409
83,410
83,411
83,412
83,413
83,414
83,415
83,416
83,431
83,45
83,455
83,81
83,82
84,111
84,116
84,206
84,213
84,252
84,30
84,327
84,355
84,373
84,416
84,417
84,418
84,419
84,420
84,421
85,121
85,195
85,196
85,249
85,258
85,259
85,417
85,422
85,423
85,424
85,425
85,426
85,432
85,89
85,90
86,160
86,166
86,186
86,247
86,352
86,364
86,378
86,394
86,403
86,411
86,427
86,428
86,429
86,430
86,431
87,184
87,354
87,432
88,297
88,433
88,44
89,197
89,198
89,200
89,223
89,244
89,282
89,285
89,287
89,343
89,356
89,37
89,434
89,435
89,436
89,437
89,438
89,439
89,440
89,460
89,67
89,73
9,112
9,168
9,191
9,195
9,211
9,221
9,24
9,263
9,271
9,30
9,31
9,32
9,33
9,34
9,346
9,349
9,35
9,36
9,363
9,37
9,38
9,39
9,390
9,391
9,397
9,40
9,438
9,451
9,460
90,102
90,122
90,143
90,149
90,159
90,183
90,254
90,262
90,347
90,417
90,441
90,442
90,443
90,444
90,445
91,101
91,142
91,157
91,18
91,203
91,240
91,245
91,257
91,264
91,280
91,295
91,367
91,408
91,442
91,446
91,447
91,448
91,449
91,450
91,451
91,452
91,453
91,454
91,76
91,84
92,228
92,246
92,269
92,455
92,456
92,77
